CHECKLIST_NAME	CHECKLIST_FIELD_ID	CHECKLIST_FIELD_NAME	CHECKLIST_FIELD_DESCRIPTION
GSC MIxS agriculture	635	biotic relationship [deprecated]	free text description of relationship(s) between the subject organism and other organism(s) it is associate with, e.g., parasite on species X; mutualist with species Y, the target organism is the subject of the relationship, and the other organism(s) is the object
GSC MIxS human vaginal	172	birth control	specification of birth control medication used
ENA Micro B3	194	bishomohopanol	concentration of bishomohopanol
GSC MIxS microbial mat biolfilm	194	bishomohopanol	concentration of bishomohopanol
GSC MIxS sediment	194	bishomohopanol	concentration of bishomohopanol
GSC MIxS water	194	bishomohopanol	concentration of bishomohopanol
ENA Crop Plant sample enhanced annotation checklist	598	block	A block or batch is an experimental unit arrangement into a group which is similar to one another. Typically, a blocking factor is a source of variability that is not of primary interest to the experimenter. An example of a blocking factor might be the sex of a patient; by blocking on sex, this source of variability is controlled for, thus leading to greater accuracy (EFO_0005067).
GSC MIxS human associated	333	blood/blood disorder	History of blood disorders; can include multiple disorders.  The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, hematopoietic system disease (https://disease-ontology.org/?id=DOID:74).
ENA Micro B3	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
ENA Plant Sample Checklist	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
ENA Shellfish Checklist	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
ENA Tara Oceans	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
ENA UniEuk_EukBank Checklist	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
ENA binned metagenome	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIMAGS	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MISAGS	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIUVIGS	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS Food and Production	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS Hydrocarbon	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS Symbiont	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS agriculture	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS air	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS built environment	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS host associated	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS human associated	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS human gut	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS human oral	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS human skin	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS human vaginal	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS microbial mat biolfilm	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS miscellaneous natural or artificial environment	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS plant associated	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS sediment	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS soil	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS wastewater sludge	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
GSC MIxS water	318	broad-scale environmental context	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
ENA Micro B3	52	bromide	concentration of bromide
GSC MIxS microbial mat biolfilm	52	bromide	concentration of bromide
GSC MIxS miscellaneous natural or artificial environment	52	bromide	concentration of bromide
GSC MIxS sediment	52	bromide	concentration of bromide
GSC MIxS water	52	bromide	concentration of bromide
GSC MIxS built environment	400	building occupancy type	the primary function for which a building or discrete part of a building is intended to be used
GSC MIxS built environment	248	building setting	a location (geography) where a building is set
	360	built environment environmental package	MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported
GSC MIxS built environment	1075	built structure age	The age of the built structure since construction
GSC MIxS built environment	835	built structure setting	The characterization of the location of the built structure as high or low human density
GSC MIxS built environment	871	built structure type	A physical structure that is a body or assemblage of bodies in space to form a system capable of supporting loads
ENA Micro B3	53	calcium	concentration of calcium
GSC MIxS Hydrocarbon	53	calcium	concentration of calcium
GSC MIxS microbial mat biolfilm	53	calcium	concentration of calcium
GSC MIxS miscellaneous natural or artificial environment	53	calcium	concentration of calcium
GSC MIxS sediment	53	calcium	concentration of calcium
GSC MIxS water	53	calcium	concentration of calcium
GSC MIxS air	195	carbon dioxide	carbon dioxide (gas) amount or concentration at the time of sampling
GSC MIxS built environment	195	carbon dioxide	carbon dioxide (gas) amount or concentration at the time of sampling
GSC MIxS air	223	carbon monoxide	carbon monoxide (gas) amount or concentration at the time of sampling
ENA Micro B3	354	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen
GSC MIxS microbial mat biolfilm	354	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen
GSC MIxS sediment	354	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen
GSC MIxS water	354	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen
	1234	carbonaceous biochemical oxygen demand (CBOD) measurement method	The method used to measure carbonaceous biochemical oxygen demand (CBOD).
GSC MIxS built environment	1099	ceiling area	The area of the ceiling space within the room
GSC MIxS built environment	1019	ceiling condition	The physical condition of the ceiling at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas
GSC MIxS built environment	1178	ceiling finish material	The type of material used to finish a ceiling
GSC MIxS built environment	888	ceiling signs of water/mold	Signs of the presence of mold or mildew on the ceiling
GSC MIxS built environment	977	ceiling structure	The construction format of the ceiling
GSC MIxS built environment	1009	ceiling texture	The feel, appearance, or consistency of a ceiling surface
GSC MIxS built environment	1130	ceiling thermal mass	The ability of the ceiling to provide inertia against temperature fluctuations. Generally this means concrete that is exposed. A metal deck that supports a concrete slab will act thermally as long as it is exposed to room air flow
GSC MIxS built environment	850	ceiling type	The type of ceiling according to the ceiling's appearance or construction
ENA Crop Plant sample enhanced annotation checklist	92	cell_line	cell line from which the sample was obtained
ENA RNA-Seq Checklist	92	cell_line	cell line from which the sample was obtained
ENA default sample checklist	92	cell_line	cell line from which the sample was obtained
ENA Crop Plant sample enhanced annotation checklist	93	cell_type	cell type from which the sample was obtained
ENA default sample checklist	93	cell_type	cell type from which the sample was obtained
ENA Crop Plant sample enhanced annotation checklist	587	cellular component	The part of a cell or its extracellular environment in which a gene product is located.
ENA Micro B3	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
ENA Plant Sample Checklist	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS Food and Production	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS Symbiont	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS agriculture	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS air	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS host associated	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS human associated	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS human gut	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS human oral	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS human skin	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS human vaginal	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS microbial mat biolfilm	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS miscellaneous natural or artificial environment	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS plant associated	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS sediment	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS wastewater sludge	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
GSC MIxS water	402	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI
ENA Crop Plant sample enhanced annotation checklist	595	chemical compound	A drug, solvent, chemical, etc., with a property that can be measured such as concentration (http://purl.obolibrary.org/obo/CHEBI_37577).
ENA Shellfish Checklist	595	chemical compound	A drug, solvent, chemical, etc., with a property that can be measured such as concentration (http://purl.obolibrary.org/obo/CHEBI_37577).
ENA Plant Sample Checklist	249	chemical mutagen	treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment duration, interval and total experimental duration; can include multiple mutagen regimens
GSC MIxS plant associated	249	chemical mutagen	treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment duration, interval and total experimental duration; can include multiple mutagen regimens
GSC MIxS wastewater sludge	385	chemical oxygen demand	a measure of the relative oxygen-depletion effect of a waste contaminant
	1235	chemical oxygen demand (COD) measurement method	The method used to measure chemical oxygen demand (COD).
GSC MIxS Hydrocarbon	967	chemical treatment	List of chemical compounds administered upstream the sampling location where sampling occurred (e.g. Glycols, H2S scavenger, corrosion and scale inhibitors, demulsifiers, and other production chemicals etc.). The commercial name of the product and name of the supplier should be provided. The date of administration should also be included
GSC MIxS Hydrocarbon	1131	chemical treatment method	Method of chemical administration(dose, frequency, duration, time elapsed between administration and sampling) (e.g. 50 mg/l; twice a week; 1 hr; 0 days)
ENA Micro B3	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS Food and Production	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS Hydrocarbon	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS Symbiont	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS agriculture	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS air	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS built environment	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS host associated	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS human associated	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS human gut	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS human oral	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS human skin	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS human vaginal	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS microbial mat biolfilm	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS miscellaneous natural or artificial environment	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS plant associated	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS sediment	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS soil	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS wastewater sludge	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
GSC MIxS water	173	chimera check software	Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
ENA Micro B3	73	chloride	concentration of chloride
GSC MIxS Hydrocarbon	73	chloride	concentration of chloride
GSC MIxS microbial mat biolfilm	73	chloride	concentration of chloride
GSC MIxS miscellaneous natural or artificial environment	73	chloride	concentration of chloride
GSC MIxS sediment	73	chloride	concentration of chloride
GSC MIxS water	73	chloride	concentration of chloride
ENA Micro B3	128	chlorophyll	concentration of chlorophyll
GSC MIxS microbial mat biolfilm	128	chlorophyll	concentration of chlorophyll
GSC MIxS miscellaneous natural or artificial environment	128	chlorophyll	concentration of chlorophyll
GSC MIxS sediment	128	chlorophyll	concentration of chlorophyll
GSC MIxS water	128	chlorophyll	concentration of chlorophyll
ENA Plant Sample Checklist	317	climate environment	treatment involving an exposure to a particular climate; can include multiple climates
GSC MIxS agriculture	317	climate environment	treatment involving an exposure to a particular climate; can include multiple climates
GSC MIxS plant associated	317	climate environment	treatment involving an exposure to a particular climate; can include multiple climates
COMPARE-ECDC-EFSA pilot human-associated reporting standard	667	clinical setting	The timing of the clinic visit in relation to travel.
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	667	clinical setting	The timing of the clinic visit in relation to travel.
ENA parasite sample checklist	667	clinical setting	The timing of the clinic visit in relation to travel.
COMPARE-ECDC-EFSA pilot food-associated reporting standard	147	collected_by	name of persons or institute who collected the specimen
COMPARE-ECDC-EFSA pilot human-associated reporting standard	147	collected_by	name of persons or institute who collected the specimen
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	147	collected_by	name of persons or institute who collected the specimen
ENA Marine Microalgae Checklist	147	collected_by	name of persons or institute who collected the specimen
ENA Plant Sample Checklist	147	collected_by	name of persons or institute who collected the specimen
ENA UniEuk_EukBank Checklist	147	collected_by	name of persons or institute who collected the specimen
ENA default sample checklist	147	collected_by	name of persons or institute who collected the specimen
ENA prokaryotic pathogen minimal sample checklist	147	collected_by	name of persons or institute who collected the specimen
Tree of Life Checklist	147	collected_by	name of persons or institute who collected the specimen
ENA Influenza virus reporting standard checklist	386	collecting institution	Name of the institution to which the person collecting the specimen belongs. Format: Institute Name, Institute Address
ENA parasite sample checklist	386	collecting institution	Name of the institution to which the person collecting the specimen belongs. Format: Institute Name, Institute Address
ENA virus pathogen reporting standard checklist	386	collecting institution	Name of the institution to which the person collecting the specimen belongs. Format: Institute Name, Institute Address
Tree of Life Checklist	386	collecting institution	Name of the institution to which the person collecting the specimen belongs. Format: Institute Name, Institute Address
COMPARE-ECDC-EFSA pilot food-associated reporting standard	224	collection date	The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid ISO8601 compliant times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008.
COMPARE-ECDC-EFSA pilot human-associated reporting standard	224	collection date	The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid ISO8601 compliant times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008.
